EPOCH=001,Accuracy= 48.554%
EPOCH=002,Accuracy= 48.861%
EPOCH=003,Accuracy= 52.598%
EPOCH=004,Accuracy= 52.777%
EPOCH=005,Accuracy= 50.576%
EPOCH=006,Accuracy= 54.748%
EPOCH=007,Accuracy= 54.722%
EPOCH=008,Accuracy= 52.419%
EPOCH=009,Accuracy= 53.519%
EPOCH=010,Accuracy= 54.441%
EPOCH=011,Accuracy= 53.340%
EPOCH=012,Accuracy= 53.929%
EPOCH=013,Accuracy= 54.236%
EPOCH=014,Accuracy= 53.340%
EPOCH=015,Accuracy= 53.954%
EPOCH=016,Accuracy= 53.622%
EPOCH=017,Accuracy= 54.006%
EPOCH=018,Accuracy= 54.364%
EPOCH=019,Accuracy= 54.210%
EPOCH=020,Accuracy= 54.031%
EPOCH=021,Accuracy= 54.441%
EPOCH=022,Accuracy= 54.978%
EPOCH=023,Accuracy= 54.697%
EPOCH=024,Accuracy= 54.287%
EPOCH=025,Accuracy= 53.468%
EPOCH=026,Accuracy= 54.722%
EPOCH=027,Accuracy= 54.466%
