001  00001 | LR: 0.000000e+00 | Loss: 1.960 | Acc: 10.000% 
001  00002 | LR: 5.000000e-07 | Loss: 1.951 | Acc: 11.667% 
001  00003 | LR: 1.000000e-06 | Loss: 1.955 | Acc: 10.000% 
001  00004 | LR: 1.500000e-06 | Loss: 1.953 | Acc: 9.167% 
001  00005 | LR: 2.000000e-06 | Loss: 1.953 | Acc: 10.000% 
001  00006 | LR: 2.500000e-06 | Loss: 1.954 | Acc: 11.111% 
001  00007 | LR: 3.000000e-06 | Loss: 1.954 | Acc: 11.190% 
001  00008 | LR: 3.500000e-06 | Loss: 1.954 | Acc: 10.625% 
001  00009 | LR: 4.000000e-06 | Loss: 1.955 | Acc: 10.185% 
001  00010 | LR: 4.500000e-06 | Loss: 1.955 | Acc: 10.333% 
001  00011 | LR: 5.000000e-06 | Loss: 1.954 | Acc: 10.303% 
001  00012 | LR: 5.500000e-06 | Loss: 1.955 | Acc: 10.278% 
001  00013 | LR: 6.000000e-06 | Loss: 1.956 | Acc: 10.128% 
001  00014 | LR: 6.500000e-06 | Loss: 1.956 | Acc: 10.476% 
001  00015 | LR: 7.000000e-06 | Loss: 1.957 | Acc: 10.111% 
001  00016 | LR: 7.500000e-06 | Loss: 1.957 | Acc: 10.104% 
001  00017 | LR: 8.000000e-06 | Loss: 1.955 | Acc: 10.588% 
001  00018 | LR: 8.500000e-06 | Loss: 1.955 | Acc: 10.556% 
001  00019 | LR: 9.000000e-06 | Loss: 1.956 | Acc: 10.526% 
001  00020 | LR: 9.500000e-06 | Loss: 1.956 | Acc: 10.833% 
001  00021 | LR: 1.000000e-05 | Loss: 1.955 | Acc: 10.873% 
001  00022 | LR: 1.050000e-05 | Loss: 1.955 | Acc: 10.682% 
001  00023 | LR: 1.100000e-05 | Loss: 1.954 | Acc: 10.870% 
001  00024 | LR: 1.150000e-05 | Loss: 1.955 | Acc: 10.833% 
001  00025 | LR: 1.200000e-05 | Loss: 1.954 | Acc: 11.000% 
001  00026 | LR: 1.250000e-05 | Loss: 1.954 | Acc: 10.897% 
001  00027 | LR: 1.300000e-05 | Loss: 1.954 | Acc: 10.617% 
001  00028 | LR: 1.350000e-05 | Loss: 1.955 | Acc: 10.536% 
001  00029 | LR: 1.400000e-05 | Loss: 1.955 | Acc: 10.575% 
001  00030 | LR: 1.450000e-05 | Loss: 1.955 | Acc: 10.722% 
001  00031 | LR: 1.500000e-05 | Loss: 1.954 | Acc: 10.914% 
001  00032 | LR: 1.550000e-05 | Loss: 1.954 | Acc: 10.677% 
001  00033 | LR: 1.600000e-05 | Loss: 1.954 | Acc: 10.758% 
001  00034 | LR: 1.650000e-05 | Loss: 1.954 | Acc: 10.931% 
001  00035 | LR: 1.700000e-05 | Loss: 1.954 | Acc: 10.762% 
001  00036 | LR: 1.750000e-05 | Loss: 1.953 | Acc: 11.019% 
001  00037 | LR: 1.800000e-05 | Loss: 1.954 | Acc: 10.991% 
001  00038 | LR: 1.850000e-05 | Loss: 1.953 | Acc: 11.096% 
001  00039 | LR: 1.900000e-05 | Loss: 1.953 | Acc: 10.983% 
001  00040 | LR: 1.950000e-05 | Loss: 1.953 | Acc: 10.958% 
001  00041 | LR: 2.000000e-05 | Loss: 1.953 | Acc: 10.976% 
001  00042 | LR: 2.050000e-05 | Loss: 1.952 | Acc: 10.992% 
001  00043 | LR: 2.100000e-05 | Loss: 1.953 | Acc: 11.047% 
001  00044 | LR: 2.150000e-05 | Loss: 1.953 | Acc: 11.061% 
001  00045 | LR: 2.200000e-05 | Loss: 1.953 | Acc: 11.074% 
001  00046 | LR: 2.250000e-05 | Loss: 1.953 | Acc: 11.014% 
001  00047 | LR: 2.300000e-05 | Loss: 1.953 | Acc: 11.099% 
