EPOCH=001,Accuracy= 43.588%
EPOCH=002,Accuracy= 46.302%
EPOCH=003,Accuracy= 48.579%
EPOCH=004,Accuracy= 49.680%
EPOCH=005,Accuracy= 42.846%
EPOCH=006,Accuracy= 48.324%
EPOCH=007,Accuracy= 52.009%
EPOCH=008,Accuracy= 52.214%
EPOCH=009,Accuracy= 49.654%
EPOCH=010,Accuracy= 52.905%
EPOCH=011,Accuracy= 50.729%
EPOCH=012,Accuracy= 51.932%
EPOCH=013,Accuracy= 52.137%
EPOCH=014,Accuracy= 54.773%
EPOCH=015,Accuracy= 53.212%
EPOCH=016,Accuracy= 54.620%
EPOCH=017,Accuracy= 53.596%
EPOCH=018,Accuracy= 56.284%
EPOCH=019,Accuracy= 53.289%
EPOCH=020,Accuracy= 52.444%
EPOCH=021,Accuracy= 54.185%
EPOCH=022,Accuracy= 53.187%
EPOCH=023,Accuracy= 54.210%
EPOCH=024,Accuracy= 52.905%
EPOCH=025,Accuracy= 52.547%
EPOCH=026,Accuracy= 53.135%
EPOCH=027,Accuracy= 53.340%
EPOCH=028,Accuracy= 53.622%
EPOCH=029,Accuracy= 53.007%
EPOCH=030,Accuracy= 52.828%
