001  00001 | LR: 0.000000e+00 | Loss: 1.955 | Acc: 20.000% 
001  00002 | LR: 5.000000e-07 | Loss: 1.945 | Acc: 20.000% 
001  00003 | LR: 1.000000e-06 | Loss: 1.943 | Acc: 16.667% 
001  00004 | LR: 1.500000e-06 | Loss: 1.943 | Acc: 15.000% 
001  00005 | LR: 2.000000e-06 | Loss: 1.944 | Acc: 12.000% 
001  00006 | LR: 2.500000e-06 | Loss: 1.945 | Acc: 10.000% 
001  00007 | LR: 3.000000e-06 | Loss: 1.946 | Acc: 11.429% 
001  00008 | LR: 3.500000e-06 | Loss: 1.946 | Acc: 12.500% 
001  00009 | LR: 4.000000e-06 | Loss: 1.947 | Acc: 12.222% 
001  00010 | LR: 4.500000e-06 | Loss: 1.947 | Acc: 12.000% 
001  00011 | LR: 5.000000e-06 | Loss: 1.948 | Acc: 11.818% 
001  00012 | LR: 5.500000e-06 | Loss: 1.949 | Acc: 10.833% 
001  00013 | LR: 6.000000e-06 | Loss: 1.948 | Acc: 11.538% 
001  00014 | LR: 6.500000e-06 | Loss: 1.948 | Acc: 11.429% 
001  00015 | LR: 7.000000e-06 | Loss: 1.949 | Acc: 11.333% 
001  00016 | LR: 7.500000e-06 | Loss: 1.949 | Acc: 12.500% 
001  00017 | LR: 8.000000e-06 | Loss: 1.950 | Acc: 12.353% 
001  00018 | LR: 8.500000e-06 | Loss: 1.947 | Acc: 14.444% 
001  00019 | LR: 9.000000e-06 | Loss: 1.949 | Acc: 13.684% 
001  00020 | LR: 9.500000e-06 | Loss: 1.948 | Acc: 14.000% 
001  00021 | LR: 1.000000e-05 | Loss: 1.949 | Acc: 13.810% 
001  00022 | LR: 1.050000e-05 | Loss: 1.947 | Acc: 14.545% 
001  00023 | LR: 1.100000e-05 | Loss: 1.949 | Acc: 13.913% 
001  00024 | LR: 1.150000e-05 | Loss: 1.949 | Acc: 13.333% 
001  00025 | LR: 1.200000e-05 | Loss: 1.949 | Acc: 13.200% 
001  00026 | LR: 1.250000e-05 | Loss: 1.949 | Acc: 13.077% 
001  00027 | LR: 1.300000e-05 | Loss: 1.948 | Acc: 14.074% 
001  00028 | LR: 1.350000e-05 | Loss: 1.948 | Acc: 14.643% 
001  00029 | LR: 1.400000e-05 | Loss: 1.948 | Acc: 14.483% 
001  00030 | LR: 1.450000e-05 | Loss: 1.948 | Acc: 14.667% 
001  00031 | LR: 1.500000e-05 | Loss: 1.948 | Acc: 14.839% 
001  00032 | LR: 1.550000e-05 | Loss: 1.948 | Acc: 15.000% 
001  00033 | LR: 1.600000e-05 | Loss: 1.948 | Acc: 14.848% 
001  00034 | LR: 1.650000e-05 | Loss: 1.948 | Acc: 14.706% 
001  00035 | LR: 1.700000e-05 | Loss: 1.948 | Acc: 14.857% 
001  00036 | LR: 1.750000e-05 | Loss: 1.948 | Acc: 15.000% 
001  00037 | LR: 1.800000e-05 | Loss: 1.949 | Acc: 14.595% 
001  00038 | LR: 1.850000e-05 | Loss: 1.949 | Acc: 14.211% 
001  00039 | LR: 1.900000e-05 | Loss: 1.950 | Acc: 13.846% 
001  00040 | LR: 1.950000e-05 | Loss: 1.949 | Acc: 14.000% 
001  00041 | LR: 2.000000e-05 | Loss: 1.949 | Acc: 14.146% 
001  00042 | LR: 2.050000e-05 | Loss: 1.949 | Acc: 14.048% 
001  00043 | LR: 2.100000e-05 | Loss: 1.948 | Acc: 14.651% 
001  00044 | LR: 2.150000e-05 | Loss: 1.949 | Acc: 14.545% 
001  00045 | LR: 2.200000e-05 | Loss: 1.949 | Acc: 14.667% 
001  00046 | LR: 2.250000e-05 | Loss: 1.949 | Acc: 14.783% 
001  00047 | LR: 2.300000e-05 | Loss: 1.948 | Acc: 14.894% 
001  00048 | LR: 2.350000e-05 | Loss: 1.948 | Acc: 14.583% 
001  00049 | LR: 2.400000e-05 | Loss: 1.948 | Acc: 14.490% 
001  00050 | LR: 2.450000e-05 | Loss: 1.949 | Acc: 14.400% 
001  00051 | LR: 2.500000e-05 | Loss: 1.949 | Acc: 14.118% 
001  00052 | LR: 2.550000e-05 | Loss: 1.949 | Acc: 14.423% 
001  00053 | LR: 2.600000e-05 | Loss: 1.950 | Acc: 14.151% 
001  00054 | LR: 2.650000e-05 | Loss: 1.949 | Acc: 14.444% 
001  00055 | LR: 2.700000e-05 | Loss: 1.950 | Acc: 14.364% 
001  00056 | LR: 2.750000e-05 | Loss: 1.950 | Acc: 14.464% 
001  00057 | LR: 2.800000e-05 | Loss: 1.950 | Acc: 14.561% 
001  00058 | LR: 2.850000e-05 | Loss: 1.950 | Acc: 14.483% 
001  00059 | LR: 2.900000e-05 | Loss: 1.950 | Acc: 14.407% 
001  00060 | LR: 2.950000e-05 | Loss: 1.949 | Acc: 14.500% 
001  00061 | LR: 3.000000e-05 | Loss: 1.949 | Acc: 14.754% 
001  00062 | LR: 3.050000e-05 | Loss: 1.949 | Acc: 15.000% 
001  00063 | LR: 3.100000e-05 | Loss: 1.949 | Acc: 15.079% 
001  00064 | LR: 3.150000e-05 | Loss: 1.949 | Acc: 14.844% 
001  00065 | LR: 3.200000e-05 | Loss: 1.949 | Acc: 14.769% 
001  00066 | LR: 3.250000e-05 | Loss: 1.949 | Acc: 14.848% 
001  00067 | LR: 3.300000e-05 | Loss: 1.948 | Acc: 15.373% 
