EPOCH=001,Accuracy= 41.182%
EPOCH=002,Accuracy= 46.609%
EPOCH=003,Accuracy= 48.631%
EPOCH=004,Accuracy= 51.267%
EPOCH=005,Accuracy= 50.038%
EPOCH=006,Accuracy= 54.287%
EPOCH=007,Accuracy= 55.413%
EPOCH=008,Accuracy= 53.954%
EPOCH=009,Accuracy= 53.571%
EPOCH=010,Accuracy= 54.722%
EPOCH=011,Accuracy= 55.439%
EPOCH=012,Accuracy= 54.901%
EPOCH=013,Accuracy= 54.415%
EPOCH=014,Accuracy= 54.364%
EPOCH=015,Accuracy= 54.594%
EPOCH=016,Accuracy= 55.157%
EPOCH=017,Accuracy= 53.391%
EPOCH=018,Accuracy= 54.518%
EPOCH=019,Accuracy= 53.596%
EPOCH=020,Accuracy= 54.159%
EPOCH=021,Accuracy= 53.775%
EPOCH=022,Accuracy= 52.982%
EPOCH=023,Accuracy= 53.340%
EPOCH=024,Accuracy= 53.826%
EPOCH=025,Accuracy= 54.236%
EPOCH=026,Accuracy= 53.135%
EPOCH=027,Accuracy= 53.519%
EPOCH=028,Accuracy= 53.545%
EPOCH=029,Accuracy= 52.854%
EPOCH=030,Accuracy= 53.443%
